,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
150,Olinda,BR,2020-02-22 17:58:54,-8.01,-34.86,86.0,70,40,9.17,scattered clouds,0.0,0.0
151,Susangerd,IR,2020-02-22 17:58:54,31.56,48.18,62.6,67,0,2.24,clear sky,0.0,0.0
152,Kenai,US,2020-02-22 17:58:54,60.55,-151.26,15.01,85,90,3.36,light snow,0.0,0.0
153,Shenjiamen,CN,2020-02-22 17:58:55,29.96,122.3,50.05,65,0,10.09,clear sky,0.0,0.0
154,Kaitangata,NZ,2020-02-22 17:58:55,-46.28,169.85,51.01,74,59,5.01,broken clouds,0.0,0.0
155,Bima,ID,2020-02-22 17:58:55,-8.47,118.72,72.12,95,84,1.81,broken clouds,0.0,0.0
156,Rosetta,EG,2020-02-22 17:58:55,31.4,30.42,59.0,54,40,11.41,scattered clouds,0.0,0.0
157,Vila Velha,BR,2020-02-22 17:54:51,-20.33,-40.29,82.0,78,40,14.99,scattered clouds,0.0,0.0
158,Point Pedro,LK,2020-02-22 17:58:55,9.82,80.23,80.96,76,100,20.67,overcast clouds,0.0,0.0
159,Akyab,MM,2020-02-22 17:58:56,20.15,92.9,73.02,49,0,6.17,clear sky,0.0,0.0
160,Ixtapa,MX,2020-02-22 17:58:56,20.7,-105.2,81.0,69,5,4.7,clear sky,0.0,0.0
161,Fairbanks,US,2020-02-22 17:58:56,64.84,-147.72,10.0,84,90,2.3,light snow,0.0,0.0
162,Faya,SA,2020-02-22 17:58:56,18.39,42.45,66.2,55,100,5.82,overcast clouds,0.0,0.0
163,Atasu,KZ,2020-02-22 17:58:56,48.68,71.64,16.29,93,100,9.4,overcast clouds,0.0,0.0
164,Georgetown,MY,2020-02-22 17:55:39,5.41,100.34,80.6,94,20,1.12,few clouds,0.0,0.0
165,Hare Bay,CA,2020-02-22 17:58:57,48.85,-54.01,23.0,57,20,25.28,few clouds,0.0,0.0
166,Hobyo,SO,2020-02-22 17:58:57,5.35,48.53,77.29,77,4,16.84,clear sky,0.0,0.0
167,Chokurdakh,RU,2020-02-22 17:58:57,70.63,147.92,-16.51,97,100,1.14,overcast clouds,0.0,0.0
168,Kilindoni,TZ,2020-02-22 17:56:34,-7.91,39.67,84.87,77,100,16.87,overcast clouds,0.0,0.0
169,Nyurba,RU,2020-02-22 17:58:58,63.28,118.33,-8.57,95,100,0.69,overcast clouds,0.0,0.0
170,Longyearbyen,SJ,2020-02-22 17:58:58,78.22,15.64,1.4,64,20,13.87,few clouds,0.0,0.0
171,Olafsvik,IS,2020-02-22 17:56:31,64.89,-23.71,29.07,70,99,8.55,overcast clouds,0.0,0.0
172,Thompson,CA,2020-02-22 17:58:58,55.74,-97.86,14.0,72,20,5.82,few clouds,0.0,0.0
173,Flinders,AU,2020-02-22 17:58:58,-34.58,150.86,70.0,100,90,15.23,overcast clouds,0.0,0.0
174,Maceio,BR,2020-02-22 17:57:23,-9.67,-35.74,89.6,62,40,12.75,scattered clouds,0.0,0.0
175,Tan An,VN,2020-02-22 17:58:59,10.53,106.42,78.8,57,20,6.93,few clouds,0.0,0.0
