City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Saint Anthony,US,2020-02-20 01:51:26,45.02,-93.22,8.6,50,1,5.82
159,Olsztyn,PL,2020-02-20 01:51:27,53.78,20.49,37.4,93,90,6.93
160,Morris,US,2020-02-20 01:51:27,40.83,-74.53,39.2,50,40,6.93
161,Tasiilaq,GL,2020-02-20 01:51:27,65.61,-37.64,17.6,78,68,4.7
162,Bilibino,RU,2020-02-20 01:51:27,68.05,166.44,-21.75,95,100,2.46
163,Springbok,ZA,2020-02-20 01:51:27,-29.66,17.89,67.51,61,48,3.85
164,Harlingen,US,2020-02-20 01:51:27,26.19,-97.7,64.4,87,90,9.17
165,Araouane,ML,2020-02-20 01:51:28,18.9,-3.53,70.43,12,48,6.31
166,Vao,NC,2020-02-20 01:51:28,-22.67,167.48,79.18,73,47,8.23
167,Dunedin,NZ,2020-02-20 01:46:29,-45.87,170.5,62.01,80,95,1.99
168,Vaini,TO,2020-02-20 01:51:28,-21.2,-175.2,84.2,66,20,9.17
169,San Angelo,US,2020-02-20 01:51:29,31.46,-100.44,41.0,94,100,2.71
170,Bongandanga,CD,2020-02-20 01:51:29,1.5,21.05,70.14,97,0,2.53
171,Kalmunai,LK,2020-02-20 01:51:29,7.42,81.82,80.01,76,100,13.11
172,Saint-Philippe,RE,2020-02-20 01:51:29,-21.36,55.77,73.4,53,0,8.05
173,Luquillo,PR,2020-02-20 01:51:30,18.37,-65.72,78.8,74,1,6.93
174,Dikson,RU,2020-02-20 01:51:30,73.51,80.55,12.02,95,100,9.82
175,Barrow,US,2020-02-20 01:51:30,71.29,-156.79,-2.2,77,90,3.36
176,Santa Vitoria,BR,2020-02-20 01:51:30,-18.84,-50.12,72.3,92,97,3.15
177,Peniche,PT,2020-02-20 01:51:30,39.36,-9.38,55.0,76,5,2.24
178,Maceio,BR,2020-02-20 01:51:31,-9.67,-35.74,77.0,83,100,9.46
179,Prince Rupert,CA,2020-02-20 01:51:31,54.32,-130.32,37.4,93,90,6.93
180,Talcahuano,CL,2020-02-20 01:47:40,-36.72,-73.12,62.6,59,0,11.41
181,Parnarama,BR,2020-02-20 01:51:31,-5.68,-43.09,73.71,96,100,1.83
182,Pisco,PE,2020-02-20 01:51:32,-13.7,-76.22,73.4,83,75,19.46
183,Kayseri,TR,2020-02-20 01:48:00,38.74,35.5,21.2,92,13,2.24
184,Salalah,OM,2020-02-20 01:51:32,17.02,54.09,73.4,78,20,4.7
185,Mount Gambier,AU,2020-02-20 01:51:32,-37.83,140.77,62.6,59,90,10.29
186,Aripuana,BR,2020-02-20 01:51:33,-9.17,-60.63,74.43,97,100,2.62
187,Bazarnyye Mataki,RU,2020-02-20 01:51:33,54.88,49.93,32.38,97,100,8.41
188,Mbini,GQ,2020-02-20 01:51:33,1.57,9.61,80.76,85,100,7.76
189,Nikolskoye,RU,2020-02-20 01:51:33,59.7,30.79,36.0,96,90,4.47
190,Batagay-Alyta,RU,2020-02-20 01:51:33,67.8,130.41,-7.58,85,89,5.77
191,Manadhoo,MV,2020-02-20 01:51:34,5.77,73.38,82.11,73,0,17.72
192,Aqtobe,KZ,2020-02-20 01:51:34,50.28,57.21,24.8,79,98,11.18
193,Ndola,ZM,2020-02-20 01:51:34,-12.96,28.64,63.01,97,100,3.44
194,Shieli,KZ,2020-02-20 01:51:34,44.17,66.75,30.36,51,96,6.29
195,Kalangala,UG,2020-02-20 01:51:34,-0.31,32.23,69.8,94,40,4.7
196,Bathsheba,BB,2020-02-20 01:51:35,13.22,-59.52,77.0,73,40,20.8
197,Kitimat,CA,2020-02-20 01:51:35,54.05,-128.65,32.0,78,90,4.7
198,Laureles,US,2020-02-20 01:51:35,26.11,-97.49,64.4,87,90,9.17
199,Karratha,AU,2020-02-20 01:47:53,-20.74,116.85,85.23,79,0,6.89
200,Asau,RO,2020-02-20 01:51:35,46.43,26.4,33.01,92,100,1.12
201,Riyadh,SA,2020-02-20 01:49:40,24.69,46.72,73.4,46,62,8.05
202,Ancud,CL,2020-02-20 01:51:36,-41.87,-73.82,51.8,66,0,10.29
203,Kodiak,US,2020-02-20 01:51:36,57.79,-152.41,33.8,86,90,8.05
204,Sault Sainte Marie,CA,2020-02-20 01:48:50,46.52,-84.33,15.8,78,90,18.34
205,Hovd,MN,2020-02-20 01:51:39,48.01,91.64,11.37,41,99,4.68
206,Angoram,PG,2020-02-20 01:51:39,-4.06,144.07,89.26,54,37,5.3
207,Zaraza,VE,2020-02-20 01:51:39,9.35,-65.32,76.57,78,55,11.1
208,Rio Gallegos,AR,2020-02-20 01:50:31,-51.62,-69.22,48.2,45,3,25.28
209,Batagay,RU,2020-02-20 01:51:39,67.63,134.63,-10.95,84,64,3.58
210,Bubaque,GW,2020-02-20 01:51:40,11.28,-15.83,79.03,72,64,16.8
211,Narsaq,GL,2020-02-20 01:51:40,60.92,-46.05,8.6,46,86,8.05
212,Peterhead,GB,2020-02-20 01:51:40,57.51,-1.8,46.4,81,100,2.24
213,Grindavik,IS,2020-02-20 01:51:40,63.84,-22.43,33.8,75,90,21.92
214,Nosy Varika,MG,2020-02-20 01:51:40,-20.58,48.53,75.6,88,100,0.45
215,Gushikawa,JP,2020-02-20 01:51:41,26.35,127.87,68.0,42,75,9.17
216,Koumac,NC,2020-02-20 01:51:41,-20.57,164.28,81.1,64,88,1.48
217,Lakatoro,VU,2020-02-20 01:51:41,-16.1,167.42,83.01,71,10,8.99
218,Nyurba,RU,2020-02-20 01:51:41,63.28,118.33,6.75,91,100,7.65
219,Gamba,GA,2020-02-20 01:51:41,-2.65,10.0,77.68,90,100,3.85
220,Mahebourg,MU,2020-02-20 01:51:42,-20.41,57.7,77.0,78,40,8.05
221,Chatakonda,IN,2020-02-20 01:51:42,17.55,80.65,75.2,67,0,10.0
222,Murgab,TM,2020-02-20 01:51:42,37.5,61.97,37.15,64,2,16.8
223,Kananga,CD,2020-02-20 01:51:42,-5.9,22.42,68.04,97,93,1.21
224,Torbay,CA,2020-02-20 01:51:42,47.67,-52.73,34.0,81,90,27.51
225,Carnarvon,AU,2020-02-20 01:51:43,-24.87,113.63,86.0,58,75,11.41
226,Trinidad,BO,2020-02-20 01:51:43,-14.83,-64.9,78.15,91,100,3.69
227,Kruisfontein,ZA,2020-02-20 01:51:43,-34.0,24.73,74.61,47,33,5.93
228,Vostok,RU,2020-02-20 01:51:43,46.49,135.88,11.05,87,100,13.29
229,Bogorodskoye,RU,2020-02-20 01:51:43,56.55,37.88,33.12,92,100,8.34
230,Iquique,CL,2020-02-20 01:50:31,-20.22,-70.14,73.4,60,100,8.05
231,Atar,MR,2020-02-20 01:51:44,20.52,-13.05,69.01,15,0,9.19
232,Neepawa,CA,2020-02-20 01:51:44,50.23,-99.47,-7.6,63,5,8.05
233,Bilbor,RO,2020-02-20 01:51:44,47.05,25.52,33.01,84,100,1.36
234,Grand-Lahou,CI,2020-02-20 01:51:44,5.14,-5.02,82.2,84,25,13.31
235,Cherskiy,RU,2020-02-20 01:51:45,68.75,161.3,-19.08,95,98,4.68
236,Zhanaozen,KZ,2020-02-20 01:51:45,43.3,52.8,33.64,60,74,9.84
237,Baykit,RU,2020-02-20 01:51:45,61.67,96.37,10.33,94,100,4.7
238,Safaga,EG,2020-02-20 01:51:46,26.73,33.94,49.32,71,0,4.03
239,Naze,JP,2020-02-20 01:51:46,28.37,129.48,64.4,55,75,8.05
240,Port-Gentil,GA,2020-02-20 01:51:46,-0.72,8.78,80.29,84,100,11.01
241,Hay River,CA,2020-02-20 01:51:46,60.82,-115.8,26.6,68,75,14.99
242,Antofagasta,CL,2020-02-20 01:47:38,-23.65,-70.4,68.0,82,90,9.17
243,Alice Springs,AU,2020-02-20 01:51:46,-23.7,133.88,84.2,14,0,10.29
244,Ngunguru,NZ,2020-02-20 01:51:47,-35.62,174.5,84.0,56,0,7.0
245,Paka,MY,2020-02-20 01:51:47,4.64,103.44,78.8,88,40,3.36
246,Asopos,GR,2020-02-20 01:51:47,36.73,22.87,55.4,76,40,15.93
247,Talmenka,RU,2020-02-20 01:51:47,53.82,83.57,26.6,92,75,15.66
248,Sochi,RU,2020-02-20 01:51:47,43.6,39.73,42.8,81,90,6.71
249,Taltal,CL,2020-02-20 01:51:48,-25.4,-70.48,61.25,87,69,1.43
250,Saint Andrews,US,2020-02-20 01:51:48,34.05,-81.13,48.2,52,90,8.05
251,Arman,RU,2020-02-20 01:51:48,59.7,150.17,-0.58,72,0,4.09
252,Dodola,ET,2020-02-20 01:51:48,6.98,39.18,50.72,76,99,3.33
253,Rio Grande,BR,2020-02-20 01:49:20,-32.03,-52.1,71.62,83,0,9.73
254,Arraial Do Cabo,BR,2020-02-20 01:51:49,-22.97,-42.03,78.8,83,100,12.75
255,Tiarei,PF,2020-02-20 01:51:49,-17.53,-149.33,86.0,66,20,12.75
256,Vagur,FO,2020-02-20 01:51:49,61.47,-6.81,40.37,57,97,44.81
257,College,US,2020-02-20 01:51:49,64.86,-147.8,21.99,78,75,2.51
258,Dzhebariki-Khaya,RU,2020-02-20 01:51:49,62.22,135.8,-14.96,90,96,2.3
259,Tiksi,RU,2020-02-20 01:51:49,71.69,128.87,-3.59,84,100,10.49
260,Avera,US,2020-02-20 01:51:50,33.19,-82.53,53.6,93,90,8.05
261,Anamur,TR,2020-02-20 01:48:28,36.08,32.84,42.8,93,0,5.82
262,Gayny,RU,2020-02-20 01:51:50,60.31,54.32,27.37,97,91,5.75
263,Rosarito,MX,2020-02-20 01:51:50,32.33,-117.03,63.0,77,20,11.41
264,Dvinskoy,RU,2020-02-20 01:51:51,62.15,45.12,32.59,95,98,7.23
265,Khatanga,RU,2020-02-20 01:51:51,71.97,102.5,-11.25,83,0,3.94
266,Grootfontein,NA,2020-02-20 01:51:51,-19.57,18.12,64.62,96,100,6.73
267,Tamsweg,AT,2020-02-20 01:51:51,47.13,13.81,28.4,92,20,4.7
268,Masterton,NZ,2020-02-20 01:47:28,-40.96,175.66,81.0,63,95,1.01
269,Bumba,CD,2020-02-20 01:51:51,2.18,22.47,70.99,89,25,2.1
270,Stornoway,GB,2020-02-20 01:51:52,58.21,-6.39,41.0,86,100,25.28
271,Urumqi,CN,2020-02-20 01:51:52,43.8,87.6,21.2,73,75,6.71
272,San Nicolas,PH,2020-02-20 01:51:52,18.17,120.6,77.0,53,20,3.36
273,Luderitz,NA,2020-02-20 01:51:52,-26.65,15.16,63.95,96,64,15.35
274,Mezen,RU,2020-02-20 01:51:52,65.85,44.24,24.22,95,100,15.35
275,Suclayin,PH,2020-02-20 01:51:53,15.76,121.55,72.86,54,50,3.85
276,Burnie,AU,2020-02-20 01:51:53,-41.07,145.92,64.99,53,0,15.99
277,Egvekinot,RU,2020-02-20 01:51:53,66.32,-179.17,-14.44,87,0,9.73
278,Omboue,GA,2020-02-20 01:51:53,-1.57,9.26,75.36,95,100,3.13
279,Dalvik,IS,2020-02-20 01:51:54,65.97,-18.53,33.8,97,90,32.21
280,Airai,TL,2020-02-20 01:51:54,-8.93,125.41,79.9,69,43,3.06
281,Meulaboh,ID,2020-02-20 01:51:54,4.14,96.13,79.72,82,5,6.17
282,Nieves,PH,2020-02-20 01:51:54,15.33,120.95,77.0,57,75,4.7
283,Nabire,ID,2020-02-20 01:51:54,-3.37,135.48,86.05,61,100,5.26
284,Orangeburg,US,2020-02-20 01:51:54,33.49,-80.86,48.99,64,90,8.05
285,Gunjur,GM,2020-02-20 01:51:55,13.2,-16.73,75.2,64,68,4.63
286,Kupang,ID,2020-02-20 01:51:55,-10.17,123.58,86.0,79,40,8.05
287,Barreiros,BR,2020-02-20 01:50:35,-8.82,-35.19,81.97,79,100,9.35
288,Jafarpur,IN,2020-02-20 01:51:55,22.32,88.23,66.2,93,40,2.75
289,Saskylakh,RU,2020-02-20 01:51:55,71.92,114.08,-8.79,97,0,5.61
290,Faya,SA,2020-02-20 01:51:55,18.39,42.45,59.0,82,100,8.05
291,Les Escoumins,CA,2020-02-20 01:51:56,48.11,-69.02,-6.84,83,91,14.97
292,Flin Flon,CA,2020-02-20 01:51:56,54.77,-101.86,0.99,88,0,10.63
293,Filadelfia,US,2020-02-20 01:48:45,39.95,-75.16,41.0,43,1,6.8
294,Fairbanks,US,2020-02-20 01:50:01,64.84,-147.72,18.0,78,75,2.13
295,Mahon,ES,2020-02-20 01:51:56,39.89,4.27,44.6,87,0,3.36
296,Souillac,MU,2020-02-20 01:51:57,-20.52,57.52,77.0,78,40,8.05
297,Santa Maria,BR,2020-02-20 01:51:57,-29.68,-53.81,68.0,94,36,3.36
298,Half Moon Bay,US,2020-02-20 01:51:57,37.46,-122.43,64.4,87,1,4.99
299,Inyonga,TZ,2020-02-20 01:51:58,-6.72,32.07,63.54,97,83,3.0
300,Sawtell,AU,2020-02-20 01:51:58,-30.38,153.1,84.2,51,0,13.87
301,Kichera,RU,2020-02-20 01:51:58,55.94,110.1,7.38,74,100,2.71
302,Kyshtovka,RU,2020-02-20 01:51:58,56.55,76.63,30.79,98,100,8.1
303,Druzhnaya Gorka,RU,2020-02-20 01:51:58,59.28,30.14,35.6,95,90,4.47
304,Sao Joao Da Barra,BR,2020-02-20 01:51:59,-21.64,-41.05,78.06,82,99,18.9
305,The Pas,CA,2020-02-20 01:51:59,53.83,-101.25,6.8,38,90,12.75
